,Impacts,Causes,Adaptation,Mitigation,Hazard
2025-09-23,0,0,0,0,2
2025-09-24,0,0,0,0,2
2025-09-26,0,0,0,0,2
2025-09-28,1,0,0,0,0
2025-09-29,2,0,0,0,0
2025-09-30,0,0,0,0,1
2025-10-01,0,0,0,0,1
2025-10-02,0,0,0,0,0
2025-10-03,0,0,0,0,1
2025-10-04,2,0,0,0,1
2025-10-07,0,0,1,1,0
2025-10-08,0,0,0,0,1
2025-10-09,1,0,0,0,1
2025-10-10,2,0,0,0,0
2025-10-11,1,0,0,0,0
2025-10-12,2,0,1,0,0
2025-10-13,1,0,0,0,1
2025-10-14,2,0,1,0,0
2025-10-15,2,0,0,0,0
2025-10-16,2,0,3,0,1
2025-10-17,0,4,0,0,1
2025-10-18,1,0,0,0,0
2025-10-20,2,0,0,0,0
2025-10-21,0,0,0,0,1
2025-10-22,2,0,0,0,0
2025-10-23,0,0,0,0,0
2025-10-24,0,1,1,0,0
2025-10-25,0,0,1,0,0
2025-10-26,2,1,0,0,2
2025-10-27,0,0,2,0,0
2025-10-28,1,0,5,0,1
2025-10-29,3,1,2,0,0
2025-10-30,0,1,2,0,0
2025-10-31,0,4,1,0,1
2025-11-02,1,2,0,1,1
2025-11-03,0,4,0,0,1
2025-11-04,1,1,0,0,2
2025-11-05,3,0,1,0,0
2025-11-06,0,1,0,0,0
2025-11-07,3,1,1,0,2
2025-11-08,7,0,0,1,2
2025-11-09,16,0,1,0,6
2025-11-10,2,0,0,1,4
2025-11-11,3,0,0,1,5
2025-11-12,0,0,0,0,2
